ra,dec,period,Vmag,e_Vmag,Icmag,e_Icmag,E(B-V),source,main category,class,V-Ic,e_V-Ic,bmag,e_bmag,rmag,e_rmag,imag,e_imag,period_fo,vamp,e_vamp,bamp,err_ampb,ramp,e_ramp,iamp,e_iamp,vamp_sec,e_vamp_sec,bamp_sec,e_bamp_sec,gmag,bpmag,rpmag,bp-rp
39.794042,-34.860889,0.52892004,21.355,0.024,,,,Braga,RRLyrae,,,,21.547,0.023,21.158,0.045,20.991,0.046,0.394805,0.51,0.04,0.66,0.05,0.35,0.08,,,0.12,0.03,0.16,0.02,,,,
39.808875,-34.811472,0.54827,21.218,0.025,,,,Braga,RRLyrae,,,,21.571,0.023,21.08,0.145,20.796,0.087,0.409147,0.63,0.05,0.52,0.04,,,,,0.14,0.02,0.37,0.03,,,,
39.853208,-34.80225,0.46754391,21.368,0.028,,,,Braga,RRLyrae,,,,21.703,0.023,21.173,0.215,21.002,0.148,0.38167015,0.41,0.04,0.49,0.04,,,,,,,,,,,,
39.901375,-34.152556,0.31746207,21.41,0.029,,,,Braga,RRLyrae,,,,21.795,0.027,21.188,0.199,20.931,0.082,0.406427,0.41,0.05,0.28,0.03,,,,,,,0.23,0.03,,,,
39.968333,-34.598278,0.52105,21.305,0.065,,,,Braga,RRLyrae,,,,21.596,0.036,21.068,0.025,20.692,0.133,0.388272,0.38,0.07,0.55,0.04,0.32,0.03,,,0.28,0.06,0.32,0.03,,,,
39.989292,-34.7795,0.36054907,21.367,0.029,,,,Braga,RRLyrae,,,,21.623,0.022,21.079,0.175,20.935,0.114,0.4267941,0.23,0.04,0.43,0.04,,,,,,,,,,,,
40.014917,-34.783222,,21.323,0.023,,,,Braga,RRLyrae,,,,21.661,0.028,21.124,0.044,20.778,0.062,0.3667937,0.44,0.05,0.55,0.05,0.42,0.07,,,,,,,,,,
40.015833,-34.809556,0.50959744,21.422,0.022,,,,Braga,RRLyrae,,,,21.72,0.022,21.152,0.182,21.016,0.037,0.37955971,0.35,0.04,0.38,0.03,,,,,0.25,0.03,0.19,0.03,,,,
40.304042,-34.586556,0.49573824,21.416,0.071,,,,Braga,RRLyrae,,,,21.726,0.065,21.178,0.046,20.995,0.087,0.369059,0.35,0.07,0.41,0.06,0.25,0.06,0.24,0.11,0.29,0.07,0.29,0.06,,,,
40.323125,-34.228306,0.491223,21.497,0.075,,,,Braga,RRLyrae,,,,21.818,0.042,21.006,0.079,20.847,0.101,0.367449,0.45,0.07,0.5,0.06,,,,,0.31,0.07,0.39,0.04,,,,
40.340125,-34.310389,0.5172849,21.377,0.073,,,,Braga,RRLyrae,,,,21.68,0.067,21.225,0.186,20.86,0.106,0.39600951,0.41,0.08,0.59,0.07,,,,,,,,,,,,
40.40725,-34.255528,0.55074339,21.23,0.064,,,,Braga,RRLyrae,,,,21.526,0.066,21.038,0.023,20.771,0.136,0.4102121,0.52,0.07,0.76,0.1,,,,,0.24,0.06,0.35,0.03,,,,
40.525083,-34.176028,0.46911272,21.336,0.072,,,,Braga,RRLyrae,,,,21.569,0.071,,,,,0.34995409,0.42,0.07,0.59,0.08,,,,,0.23,0.07,0.27,0.08,,,,
40.579542,-34.425806,0.318879,21.251,0.056,,,,Braga,RRLyrae,,,,21.56,0.061,,,,,0.371955,0.44,0.05,0.55,0.06,,,,,0.17,0.06,0.26,0.05,,,,
39.717417,-34.382417,0.507198,21.388,0.038,,,,Braga,RRLyrae,,,,21.645,0.025,21.209,0.051,20.913,0.075,0.377945,0.52,0.04,0.58,0.03,0.32,0.07,,,0.27,0.04,0.31,0.03,,,,
39.750625,-34.702306,0.54304,21.414,0.043,,,,Braga,RRLyrae,,,,21.659,0.025,21.213,0.017,20.947,0.055,0.404827,0.29,0.04,0.48,0.04,0.37,0.04,,,0.34,0.04,0.38,0.03,,,,
39.776708,-34.702,0.517695,21.399,0.054,,,,Braga,RRLyrae,,,,21.675,0.025,21.161,0.05,20.912,0.083,0.386061,0.47,0.06,0.61,0.04,0.47,0.08,,,0.24,0.05,0.23,0.03,,,,
39.806625,-34.405889,0.53064,21.38,0.043,,,,Braga,RRLyrae,,,,21.623,0.026,21.141,0.054,20.925,0.116,0.396022,0.37,0.05,0.61,0.04,0.3,0.06,,,0.22,0.05,0.26,0.03,,,,
39.811833,-34.810944,0.50488135,21.347,0.025,,,,Braga,RRLyrae,,,,21.612,0.024,21.299,0.1,21.047,0.064,0.375972,0.64,0.06,0.79,0.06,,,,,0.15,0.03,0.21,0.03,,,,
39.49875,-34.595972,0.34802007,21.19,0.016,,,,Braga,RRLyrae,,,,21.525,0.04,,,,,0.41229921,0.51,0.05,0.67,0.11,,,,,0.32,0.04,,,,,,
39.842167,-34.335944,0.508652,21.375,0.046,,,,Braga,RRLyrae,,,,21.645,0.026,21.119,0.049,20.97,0.105,0.37935,0.51,0.05,0.55,0.04,0.4,0.07,,,0.19,0.04,0.32,0.03,,,,
40.084708,-34.705361,0.54876353,21.218,0.041,,,,Braga,RRLyrae,,,,21.584,0.024,20.945,0.037,20.576,0.073,0.409906,0.38,0.04,0.58,0.04,0.33,0.05,,,,,0.16,0.02,,,,
40.086458,-34.900028,0.52130098,21.288,0.026,,,,Braga,RRLyrae,,,,21.577,0.024,21.066,0.04,20.838,0.079,0.38647075,0.46,0.05,0.38,0.04,0.62,0.18,,,,,0.14,0.02,,,,
40.201042,-34.820028,0.44621128,21.37,0.03,,,,Braga,RRLyrae,,,,21.54,0.024,21.208,0.134,21.065,0.043,0.36011565,0.51,0.06,0.69,0.07,,,,,0.28,0.04,0.29,0.03,,,,
39.92175,-34.323889,0.544996,21.276,0.061,,,,Braga,RRLyrae,,,,21.665,0.035,21.088,0.036,20.773,0.085,0.406685,0.38,0.06,0.42,0.04,0.31,0.05,,,0.15,0.06,0.25,0.04,,,,
40.01925,-34.318833,0.538724,21.403,0.074,,,,Braga,RRLyrae,,,,21.713,0.04,21.207,0.036,20.907,0.088,0.401993,0.39,0.08,0.47,0.04,0.37,0.07,0.32,0.1,,,0.24,0.05,,,,
40.057292,-34.631472,,21.461,0.059,,,,Braga,RRLyrae,,,,21.681,0.026,21.268,0.059,20.888,0.103,0.374923,0.46,0.07,0.54,0.04,0.42,0.07,0.32,0.12,,,,,,,,
40.140875,-34.632778,0.385062,21.327,0.05,,,,Braga,RRLyrae,,,,21.633,0.028,21.121,0.045,20.841,0.058,0.543972,0.35,0.04,0.56,0.04,,,,,,,0.33,0.03,,,,
40.141333,-34.592806,0.49146084,21.411,0.068,,,,Braga,RRLyrae,,,,21.741,0.039,21.15,0.145,20.937,0.096,0.36612284,0.39,0.08,0.33,0.04,,,,,0.27,0.06,0.29,0.04,,,,
