diaObjectId,dec,ra,i_psfFluxErrMean,i_psfFluxLinearSlope,i_psfFluxMAD,i_psfFluxMax,i_psfFluxMean,i_psfFluxMeanErr,i_psfFluxMin,i_psfFluxNdata,i_psfFluxSigma,i_psfFluxStetsonJ
604070726227460271,-34.59955009220021,40.39774363162124,286.063,-554810.039057773,332.699,2243.68359375,1885.64306640625,201.8363342285156,1578.2855224609375,2.0,470.50748839694586,1.2706590799099262
604070726227460160,-34.569807157373525,40.532614360386056,832.418,-3356.755590519066,19205.2,42534.92578125,12151.634765625,362.6907958984375,-5666.58349609375,4.0,23131.848576586133,23.699495999975788
604070726227460150,-34.566736458517845,40.41343304219728,554.154,821.6778310224149,1836.51,-11768.080078125,-19039.111328125,247.58041381835935,-22449.681640625,5.0,4289.889423003739,5.407216957157417
604070726227460287,-34.59795727515545,40.44381344776545,472.356,-667.5648349392401,1661.69,4516.87548828125,1779.099365234375,270.2633361816406,-3580.620849609375,3.0,4276.880049646172,6.203173346512714
604070726227460358,-34.54233324417506,40.47535298223728,269.187,341.44324025656266,338.746,2616.81201171875,664.6260375976562,150.61109924316406,-1280.1329345703125,3.0,2158.7692444480585,6.458659361975198
604070726227460275,-34.617400504252586,40.3958180818654,362.254,106521.2442740591,70.5161,3858.910888671875,3786.993896484375,256.1144104003906,3717.878662109375,2.0,99.72484376818127,-0.96136483658109
604070726227460355,-34.556083771489554,40.42612937419306,314.347,-90.58620392673365,494.439,-1489.7242431640625,-1879.7799072265625,218.50157165527344,-2478.60302734375,2.0,699.2428940649654,1.3211899689546307
604070726227460273,-34.61763715452096,40.38837520549318,226.592,-16909.348540435636,20.5558,1567.313720703125,1547.0906982421875,160.20887756347656,1526.2020263671875,2.0,29.070357851009984,-0.9917367237777084
604070726227460151,-34.515896893913535,40.39722559107034,688.68,184.82932916153803,1613.02,-3817.53759765625,-6269.14306640625,278.779296875,-11302.1865234375,6.0,2738.8325908384704,2.700843854420665
604070726227460166,-34.61709472859172,40.49056973322794,798.252,-2599.457396875813,7730.0,-12230.849609375,-25858.95703125,460.781494140625,-44465.73828125,3.0,16829.193142583423,16.31678370347562
604070726227460268,-34.47439625880586,40.49016385870741,300.784,-0.1472688901611604,386.873,-1455.9681396484375,-2214.819091796875,146.0726776123047,-2990.01611328125,4.0,658.3516768904972,1.285556780535309
604070726227460267,-34.45858049598986,40.48031656455487,266.368,-337.10899782898235,54.9583,-1373.798828125,-1504.4930419921875,153.33428955078125,-1727.9547119140625,3.0,190.5981909569572,-0.4910016934951993
604070726227460266,-34.572670383869585,40.41098901994851,242.258,-106006.57052975812,93.8917,-1872.55029296875,-2111.331787109375,120.7034149169922,-2295.746337890625,4.0,174.4340490542189,-0.5264325242817223
604070726227460168,-34.58809343880996,40.50108407099293,555.032,-1021.9853865311444,5163.9,13288.2724609375,4915.25537109375,274.7426147460937,-4832.0615234375,4.0,7814.169120252346,11.56182317700078
604070726227460265,-34.56216206876084,40.41725422019192,244.147,-23619.103499377517,141.329,-1550.4283447265625,-1807.1324462890625,121.59333038330078,-2008.9107666015625,4.0,211.1375216779884,-0.3470413319103381
604070726227460264,-34.55997038748171,40.416337020553655,223.882,10713.342892811084,2.21802,-1307.252685546875,-1339.3524169921875,128.6136474609375,-1416.9873046875,3.0,62.72483008009966,-0.9624765260090692
