diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ
579577386731831702,-72.09978441027559,5.286932512311577,416.295,-114745.34219804277,1268.3,-7956.85595703125,-10438.091796875,186.13497924804688,-12593.365234375,5.0,1784.2650494775166,3.2005689489040074
579577386731831519,-72.13766938893271,5.202596900444147,432.871,834.3276143701738,1603.9,3683.148193359375,-1381.3603515625,176.530029296875,-6405.31884765625,6.0,3398.7209066984715,6.061512727402657
579577386731831520,-72.13784182006049,5.212392078902855,392.369,-94.60091082124129,225.78,-1741.8101806640625,-2310.505615234375,223.84243774414065,-2639.88818359375,3.0,467.1733658181968,0.0752072607353531
579577386731831530,-72.1360749192267,5.244163017800327,423.61,419.85597875305984,739.297,2208.3505859375,-1464.3836669921875,189.2001037597656,-3172.63916015625,5.0,2183.7940703743075,3.1465618194830816
579577386731831531,-72.13455031287455,5.213132891104447,455.02,195.9148714754648,444.169,-1397.3228759765625,-2094.9482421875,227.48550415039065,-3108.032470703125,4.0,768.7857659380329,0.660961366261978
579577386731831533,-72.13331763732846,5.205213464248247,412.764,117.51496839032446,464.55,-172.35926818847656,-2003.7103271484373,183.50804138183597,-3036.8916015625,5.0,1254.3549040163768,1.7966814784834837
579577386731831536,-72.1307726924831,5.1859249062932,464.309,105.22748458180604,663.53,-463.06048583984375,-2338.015869140625,206.9243621826172,-3450.2451171875,5.0,1163.1846043547337,1.2283726690232002
579576081061773807,-72.38863293977482,5.144671153100801,292.136,-7.907076933934958,23.7607,-1835.3309326171875,-1862.272216796875,205.1744842529297,-1882.8524169921875,2.0,33.60276385361306,-0.993392231306544
579577386731831512,-72.1398789962742,5.206570964544706,311.395,-23689.43718800232,39.3972,-486.9492492675781,-538.0736694335938,212.6318359375,-565.74365234375,2.0,55.716056734707294,-0.9842197976020448
579576081061773806,-72.39042618130607,5.141469085830574,299.345,-62.706439437335135,188.505,-1581.7088623046875,-1801.3927001953125,209.4759521484375,-1958.7183837890625,2.0,266.58598921349693,-0.3884881888838354
579577386731831514,-72.13983887989518,5.217901818230266,471.119,304.9918284520384,1174.0,-979.1150512695312,-2317.499755859375,270.7095031738281,-3608.763916015625,3.0,1317.335904986168,1.7643931728485516
579577386731831516,-72.13669920959266,5.163974412836153,879.53,-1677274.2207049597,3431.82,-4377.2998046875,-8196.3125,507.79443359375,-12404.09765625,3.0,4027.420569692952,3.340206989726013
579577386731831590,-72.12222933087956,5.208499849653997,460.769,40.97464580603395,1967.17,6399.31005859375,3512.50732421875,230.31610107421875,604.3899536132812,4.0,2549.726538225471,4.683936720330488
579577386731831565,-72.12653231373078,5.216999725544555,617.132,954.5368763421932,2655.87,9889.12109375,4010.35302734375,251.6973114013672,-467.1176452636719,6.0,3735.830465085628,4.264920134036129
579577386731831597,-72.11809945035161,5.189294918077422,395.012,467.93358718228,364.109,2870.4990234375,-1302.5728759765625,175.01414489746094,-2974.728515625,5.0,2434.449647334516,3.078630495502238
579577386731831599,-72.11719874837837,5.173819122731034,542.485,11273068.545957156,2720.57,6309.5,3633.599853515625,383.5562133789063,868.3656005859375,2.0,3847.463031173076,6.3968815057745445
579577386731831602,-72.11721341351415,5.184323745375989,501.273,-187.7861001498808,497.036,5781.7265625,-468.663330078125,189.1072540283203,-3023.133544921875,7.0,3138.86928823582,3.5463837400420384
579577386731831603,-72.12027982156921,5.254787693322289,492.458,546.5515749077805,3243.48,8220.0439453125,3319.365234375,184.2320098876953,17.493375778198242,7.0,3282.0869103384703,5.319845673839741
579577386731831608,-72.118192852616,5.242258910332241,420.953,205.83095436691684,1317.98,4608.9912109375,2683.529052734375,210.02377319335935,-231.2605438232422,4.0,2187.5570776694044,4.222306676702683
579577386731831616,-72.11405218898129,5.204393277276856,504.557,1009.120242237035,3076.26,7744.61865234375,2986.83203125,291.0790405273437,-1172.7589111328125,3.0,4529.563284849437,6.915184946883905
579577386731831622,-72.11586685755819,5.287850232935111,790.036,3751378.908643488,5350.63,12417.7412109375,5952.96728515625,456.0381164550781,15.517085075378418,3.0,6220.52212620571,5.995412735115216
579577386731831538,-72.13278264338734,5.227317924477845,477.838,287.1592649862077,677.821,-445.23577880859375,-2957.707275390625,238.63739013671875,-4535.1630859375,4.0,1757.0180782051948,1.9633570216798155
