diaObjectId,ra,dec,g_psfFluxMean,r_psfFluxMean,i_psfFluxMean,g_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,g_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,g_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,g_psfFluxMAD,r_psfFluxMAD,i_psfFluxMAD,g_psfFluxNdata,r_psfFluxNdata,i_psfFluxNdata,nDiaSources,Region,Class
579577386731832790,5.636729290348073,-71.99189461369,3123.708984375,85.28106689453125,128.56211853027344,967.4663982620915,1492.7931546843351,1357.2406325713694,12.6048,160.629,111.427,2.75899494880031,4.8208171923407,4.552820446124442,684.102,1469.51,1001.36,2.0,5.0,5.0,12,47,RR Lyrae
579586045385900053,7.065905657342332,-71.76997336386667,,241.55831909179688,-1558.5733642578125,,6337.197265625,5333.266925620767,,1935.0,149.013,,14.444460076701759,11.500305080851493,,3924.17,3771.19,,6.0,2.0,8,47,RR Lyrae
579585976666423409,7.210632982912905,-71.72422697291435,,-3402.21337890625,,,10867.33863091283,,,2217.75,,,23.47043295970575,,,338.091,,,3.0,,3,47,RR Lyrae
579576836976017478,4.317033012450185,-72.1620211457837,,-1832.922607421875,-3774.826171875,,6690.264918391915,,,665.83,0.0,,11.742119711863033,,,401.752,0.0,,3.0,1.0,4,47,RR Lyrae
579576768256541517,4.706561503503794,-72.1607863719712,-351.8147888183594,3467.5361328125,6139.62255859375,7214.160996764318,9024.375658853573,5236.17773614545,1624.36,902.2,496.9,21.94342181081388,16.04071113994816,11.707720469162929,6037.7,4511.68,4466.91,4.0,3.0,4.0,11,47,RR Lyrae
579577386731835638,5.2056460338084145,-72.05265816016988,70.71099090576172,6450.6728515625,9362.88671875,6297.010996213136,5291.908990300193,413.2206789528051,3565.67,3231.38,3.29229,20.021568706930246,13.141464380825495,-0.21943719941841797,4489.78,1830.17,380.698,9.0,11.0,5.0,25,47,RR Lyrae
579577455451308889,4.664341401276402,-72.06620732358847,-1840.047119140625,-2714.80615234375,-1039.4501953125,,471.3504354426055,5554.205385902584,0.0,3.59966,1948.57,,0.13716045689539227,6.813222837603436,0.0,84.9136,590.871,1.0,3.0,11.0,15,47,RR Lyrae
579578073926600498,5.277358417657144,-71.94380220193338,-2225.6669921875,1381.4847412109375,1036.8985595703125,,3749.134998818813,4952.353716127018,0.0,282.74,149.485,,8.456158118093775,11.525350123326254,0.0,726.786,3501.84,1.0,3.0,2.0,6,47,RR Lyrae
579578142646075468,5.071179933249168,-71.95734464898077,-318.7541198730469,1428.50537109375,277.2137756347656,5481.891778576951,4901.401100570066,3668.2641417604113,1273.29,2076.91,660.736,15.145142092982098,11.109544020776948,4.9867995104106875,696.331,784.354,164.782,5.0,10.0,8.0,23,47,RR Lyrae
579577524170785196,4.096498607483385,-72.03065905480692,,-6098.15625,,,,,,0.0,,,,,,0.0,,,1.0,,1,47,RR Lyrae
579578211365552184,4.304549187838606,-71.97377518923842,,-1960.0623779296875,,,7169.68017578125,,,399.817,,,18.546434754168697,,,5069.73,,,2.0,,2,47,RR Lyrae
579578761121366800,5.231650851966808,-71.69191677580802,1365.675048828125,,-15506.0986328125,18141.190927720116,,,6747.88,,0.0,41.5353131355191,,,135.549,,0.0,3.0,,1.0,4,47,RR Lyrae
579578073926601016,5.683195964396052,-71.9557004714647,,170.20428466796875,1180.15869140625,,4828.054403132181,,,370.167,0.0,,13.15850388238516,,,3413.95,0.0,,2.0,1.0,3,47,RR Lyrae
579578073926598690,5.683626371776007,-71.86177879906326,-3209.48046875,2028.506103515625,1948.3082275390625,868.3984024987607,5735.848353504084,5721.819078355641,15.825,8003.69,2156.18,1.25350724503941,12.171062946858331,11.912205610022399,167.464,598.588,5724.67,3.0,25.0,14.0,42,47,RR Lyrae
579578623682412826,6.297746206913024,-71.72653982512695,988.8121337890625,1994.2198486328125,17.455923080444336,9797.079558252344,9850.034972938121,4373.483120989218,1664.59,6724.55,693.65,21.76776574302498,21.995251397241546,10.130462037700465,1624.48,1173.72,2222.64,3.0,9.0,7.0,19,47,RR Lyrae
579578692401889575,5.90419198762745,-71.75412957860564,-5553.06103515625,6632.55029296875,2035.5421142578125,1191.2038917176767,4693.642329930968,4499.8534068173185,12.7066,1323.71,890.214,2.810330119062957,11.42601723131978,8.130732891690318,842.308,2578.82,4416.67,2.0,7.0,9.0,18,47,RR Lyrae
579578623682412772,6.242447076125139,-71.70373641156134,6032.21044921875,15.545034408569336,550.3985595703125,,4477.705193628722,2723.5004951116434,0.0,653.706,84.2983,,10.78229936625172,4.050173699483493,0.0,4134.27,344.806,1.0,6.0,3.0,10,47,RR Lyrae
579578623682412863,6.492224846685501,-71.78250306178927,3157.17724609375,6630.5751953125,5352.2509765625,9881.18732803458,10274.543601513577,10821.628939525537,1596.32,11013.9,3451.92,21.435578674772714,24.020787746354568,22.901691212335407,2627.92,4364.53,1138.05,3.0,14.0,7.0,24,47,RR Lyrae
579578623682413554,6.677567865903974,-71.66662633910016,,-3375.35498046875,,,1076.4852633331955,,,28.1907,,,1.7598173846659135,,,381.37,,,4.0,,4,47,RR Lyrae
579578623682413757,6.477434996099748,-71.64595765177225,,,211.70614624023438,,,6063.588250309878,,,163.656,,,12.1036476281158,,,4287.6,,,2.0,2,47,RR Lyrae
579578692401891372,6.202301429003879,-71.6573656647829,-628.0973510742188,,,6205.009779180679,,,359.205,,,18.154666900283523,,,4387.6,,,2.0,,,2,47,RR Lyrae
579578761121366624,5.432054824446536,-71.67971342221433,4237.35693359375,,764.5339965820312,13196.619919180146,,6787.589188771265,1618.93,,825.786,39.190950715325116,,14.451757413374319,9331.42,,3370.63,2.0,,4.0,6,47,RR Lyrae
579583159167877148,7.727355151754345,-72.33614439609572,,2624.18505859375,,,,,,0.0,,,,,,0.0,,,1.0,,1,47,RR Lyrae
579583846362644646,7.797421112093315,-72.29799974146255,,16958.44140625,,,,,,0.0,,,,,,0.0,,,1.0,,1,47,RR Lyrae
579583846362644892,7.884352240818174,-72.23530496596867,,-3033.646728515625,,,,,,0.0,,,,,,0.0,,,1.0,,1,47,RR Lyrae
579584602276888912,7.557297881108137,-72.13199771947824,,-20.098251342773438,359.1436462402344,,8857.422425106324,9850.567661389417,,7444.71,2200.39,,16.569465719364565,18.954675971151946,,2602.37,933.868,,13.0,5.0,18,47,RR Lyrae
579583915082122253,7.439822614602628,-72.14385562644188,,6528.34765625,2042.4835205078125,,8994.054018012921,,,3330.34,0.0,,25.541501637765755,,,1103.65,0.0,,5.0,1.0,6,47,RR Lyrae
579584533557411857,7.666266887175324,-72.0860804248726,,-8631.994140625,369.70404052734375,,16234.5771484375,5294.555418853176,,13911.6,134.728,,42.46354437994794,10.50058374378633,,2684.0,3743.82,,7.0,2.0,9,47,RR Lyrae
579584602276889614,7.576880021210922,-72.0384533061536,,1890.012939453125,3381.25732421875,,187.91785662086676,,,0.314326,0.0,,-0.8280100195258691,,,132.878,0.0,,2.0,1.0,3,47,RR Lyrae
579584533557412032,7.615791092910893,-72.0010119072458,,3684.3662109375,3030.17724609375,,,,,0.0,3.63361e-13,,,,,0.0,0.0,,1.0,1.0,2,47,RR Lyrae
648375409829740567,38.60178053579817,7.393519830607118,-6692.271484375,2769.08935546875,19183.478515625,88247.98941884055,88160.11208088745,96277.71889738171,93652.5,51779.4,60069.6,88.29052848616593,79.91384555521147,82.5880808819609,46337.7,18593.6,106464.0,7.0,6.0,7.0,22,LELF,RR Lyrae
648367026053579380,37.49124849499602,7.157025209559629,,,,,,,,,,,,,,,,,,,1,LELF,RR Lyrae
650026120380416015,38.51684833239751,7.672981091432442,27630.416015625,7595.58642578125,4640.13134765625,16551.509449072666,29391.21804008299,,333.447,1807.23,0.0,17.28511360706052,22.487004270283872,,11703.7,3183.7,0.0,2.0,3.0,1.0,8,LELF,RR Lyrae
604064060438216798,40.04861405544389,-34.300877940262566,,-2995.556396484375,-291.4048767089844,,4379.32216405605,2559.6343018771936,,2729.29,759.813,,19.245859515411496,8.397475953197155,,4013.41,2350.68,,8.0,10.0,18,Fornax,RR Lyrae
604064747632984333,40.077673968782356,-34.25356082241665,,16426.34765625,-1287.9508056640625,,7717.975745946287,7701.2740669792365,,6090.0,6136.8,,18.201519315778864,24.14099937466363,,561.674,7059.27,,6.0,10.0,16,Fornax,RR Lyrae
604064060438217317,40.20567676786764,-34.3367922447512,,3399.7353515625,125.324951171875,,1367.8134004662638,1619.1710222602933,,247.874,192.216,,3.540596538122022,6.017726778837426,,56.8723,257.084,,5.0,5.0,10,Fornax,RR Lyrae
