decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxLinearSlope,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ,iPSFluxSkew
-44.5790997,1249089189618647142,253.2082303,809.8538073,-2.3085468,1706.6158683,2479.7946459,-2777.4535266,147.5628356,-6263.0027518,29.0,2159.0236534,1.9164456,0.5814056
-44.5192119,1249089189618647165,6965.6859992,486.7431505,-31.6912288,14344.3496897,14895.507453,-16366.0170476,242.4214309,-37224.412575,4.0,23596.7478668,43.7878578,0.7112946
-44.5011741,1249089189618647126,82.5684708,413.3336081,3.0149214,1847.2825669,2722.677384,427.141966,183.9345152,-1891.5974612,5.0,1843.4301321,3.1625039,-0.2345723
-44.5169803,1249089189618647125,58.3776307,386.8803351,-0.2001596,1151.1933352,1313.7712962,-790.6672668,154.9017339,-1996.8136939,6.0,1370.8987896,2.7672982,0.3486699
-44.5085843,1249089189618647124,133.3874693,662.9133574,0.9410287,848.8033401,1895.0886911,-532.4474981,128.908149,-3257.3046434,26.0,1460.4231506,0.9934223,-0.4643507
-44.4763479,1249089189618647123,134.1181014,365.1570809,3.9369028,248.0461869,1950.2280909,166.05604,160.5931195,-2275.8729814,5.0,2092.2349872,4.243462,-0.6574871
-44.4882914,1249089189618647116,296687.0461812,1091.9046207,284.0949018,95805.9402161,189391.0386146,-142879.9271618,324.912415,-444423.0144646,11.0,187683.646407,120.3080067,0.2146013
-44.5489858,1249089189618647115,618229.1417914,1461.8086943,165.9856884,6352.4332586,51191.6183875,-36188.5736155,218.2965965,-648305.2347296,44.0,138775.1733178,46.3898584,-3.3805668
-44.588056,1249089189618647134,326.8819436,562.9850374,-1.8044333,573.9410511,4254.7555558,2058.0035978,147.9344696,-4333.5788036,14.0,2599.1705734,2.315862,-1.9063611
-44.5567276,1249089189618647141,315.829539,1318.7935184,-3.0947559,2498.62159,14423.0300749,4464.0030149,221.9086512,-3109.2903214,35.0,3990.6925003,1.8861697,0.369564
-44.5989616,1249089189618647140,206.7104464,934.0117619,-1.3975534,1461.1701963,4734.2506771,-1459.2870341,202.5108201,-5839.538522,21.0,2791.3553369,1.6818848,0.842972
-44.5812092,1249089189618647139,3.7403417,441.7880211,-0.2987468,522.706472,3211.8844661,2577.2522956,253.5458697,2016.4397377,3.0,599.2894287,0.5608789,-0.3729091
-44.5189858,1249089189618647136,4450.7094569,410.7640981,1.5368907,6707.8395288,-12447.5479972,-36078.0654761,165.3876736,-46313.710857,6.0,13203.056834,24.6541436,1.0831838
-44.5904454,1249089189618647135,117.7600241,857.3433747,-0.7465498,1008.8538907,6594.9890739,1112.020776,217.5241856,-2625.0653074,15.0,2171.1577452,1.2794705,0.5515202
-44.5685138,1249089189618647133,0.3907045,328.5896587,0.1515229,131.3745915,-1653.2145065,-1799.3098151,188.172525,-1956.533747,3.0,152.1111475,-0.8938042,-0.3969077
-44.5671365,1249089189618647132,305.1871677,731.8235822,-2.3594645,1468.2552685,6023.9342917,369.0127166,166.3090343,-4491.3196895,19.0,2936.0872883,2.834678,-0.0601396
-44.5037216,1249089189618647130,187.5716382,514.6657217,0.2461342,879.1653023,2342.6358085,-413.2050416,120.2058729,-3716.3851482,18.0,1601.4977141,1.870724,-0.4298783
