decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ,gPSFluxSkew
-44.5693477,1249062801339581810,8.0307324,199.623064,-2.2085313,119.2629551,957.350874,339.2909854,95.334207,135.0537601,4.0,383.4316472,0.249007,1.5699557
-44.6413804,1249062801339581802,119.0115052,558.157069,2.6866332,1185.7367027,3978.1228687,-792.6706125,209.3193118,-2848.3950825,7.0,2361.0010606,2.8000044,1.6403793
-44.5679999,1249062801339581833,18.8769031,170.4234438,-0.083658,190.8286053,757.4448121,198.4498551,72.688336,-164.1439681,5.0,345.5455975,0.83231,0.8395159
-44.6251099,1249062801339581818,264.2978568,548.3874768,-8.6313601,1325.0888215,1518.1093397,-2925.8342014,181.9583991,-8733.5677165,9.0,3128.1091409,3.8968786,-0.8100801
-44.6527471,1249062801339581819,31.7601761,404.0998974,2.1738018,594.4931321,-110.6001482,-1590.2021859,164.0841994,-3056.1115613,6.0,1016.108101,1.4639112,0.2513397
-44.6336276,1249062801339581821,218.7763834,230.4922465,-1.2869965,548.6680892,1897.9202528,-172.0813379,75.7987837,-1994.5783517,9.0,1144.4319617,3.5340768,0.4371775
-44.6200368,1249062801339581920,7.3037673,166.6495042,0.0713736,171.6827795,270.1790918,-12.5821153,79.1690571,-394.8104804,4.0,274.6350971,0.4886488,-0.3556912
-44.5432944,1249071597432604379,4.1881068,155.1982999,-0.8386015,78.9329044,1239.0696345,947.0295947,76.2138801,814.186076,4.0,188.7599935,-0.0700466,1.3415648
-44.5687127,1249071597432604387,35.8112364,155.1157304,-2.3523329,284.7286518,494.3854581,-143.0238944,75.6530468,-758.9768793,4.0,518.3723463,1.9272121,-0.6518788
-44.6193853,1249062801339581719,277.9331294,646.1464599,-7.5566071,1948.6205533,1669.5060873,-2380.6377966,213.5709683,-11005.7831044,9.0,3808.8599199,3.81642,-1.5929254
-44.6177762,1249071597432604401,67.5945167,205.6968036,-1.033504,580.8271564,1266.2370757,-47.8899217,101.5399267,-979.8833427,4.0,937.032911,3.3270436,0.4927694
-44.5967782,1249071597432604397,74.465307,178.7804249,1.0397281,707.4682865,268.6693785,-642.5354075,86.7719811,-1528.9232014,4.0,908.1522875,4.3851918,-0.1368649
-44.6456914,1249062801339581769,95.629271,579.2140779,4.9450906,1154.7012468,1873.0767112,-978.714046,190.3686216,-4998.7100264,9.0,2090.966264,2.405425,-0.4426719
-44.5945085,1249062801339581761,26974.3040678,247.5493623,-25.8542597,1011.5573774,2325.947182,-6318.5897464,80.8882937,-34273.0334466,9.0,11488.1299395,24.3585139,-2.9408278
-44.5872439,1249062801339581747,10.7618211,241.4205753,2.2815357,155.4565259,1051.0104349,517.0685518,117.9077442,93.3521132,4.0,427.7208249,0.6348958,1.4947085
-44.6572719,1249071597432603757,183.8676226,301.7197234,0.7829835,954.4148898,3895.0134618,1486.5942646,109.8075035,-1073.8794344,7.0,1613.2416112,3.8119672,0.3103047
-44.5213177,1249071597432603809,405767.9268711,470.0572153,-209.069549,41098.1741122,456939.7675999,5470.3177836,219.8888717,-53426.2798688,3.0,283541.5605306,312.3021487,1.6912027
-44.5010535,1249062801339582025,2201.0283642,508.2814807,903.6768005,13645.038034,-511243.8648668,-527306.6860709,280.7713659,-540718.9929512,3.0,14751.0564003,26.7381967,0.2216511
-44.5724843,1249062801339582016,131.028554,261.6859812,2.9301518,636.997534,1803.6652136,-51.0793428,91.3682602,-1594.6242099,8.0,1078.3715754,2.8779022,0.5586875
-44.5984214,1249062801339581998,76.503335,237.5177835,-1.3942092,296.4030473,1084.4735576,447.4147658,87.9131988,-1355.8216225,7.0,825.021247,1.8670362,-1.8265706
-44.5666344,1249071597432603982,39.7582435,231.2743321,-1.3363119,328.669975,1629.550968,746.8752927,93.3452734,-12.6026234,6.0,654.008551,1.4777877,0.4131248
