decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ,rPSFluxSkew
-44.4884902,1249546586455801963,1008575.1665751,492.691886,40.0225424,81373.7658488,477972.8618847,5593.4261739,117.7674473,-81485.4160991,13.0,175379.9683847,229.1748235,1.1245405
-44.4763958,1249546586455801964,437.1235449,534.7298492,0.3541442,1067.1649326,2567.2015768,-943.8233257,88.3716846,-5068.7776838,36.0,1878.0094105,2.3880334,-0.4184836
-44.5183396,1249546586455802024,779451.4706342,545.3598885,104.3954001,85727.6240465,659364.7632998,24815.5581215,177.5709108,-46697.9745132,6.0,285180.8933301,294.3232891,1.285412
-44.541539,1249546586455802022,419686.4485117,745.653046,146.8843339,45253.6175792,519192.6007157,56339.3955674,267.3854411,-158897.0026829,7.0,206427.2945202,180.2407705,1.0460657
-44.5229501,1249546586455802008,24961.5665576,305.8842057,4.1874029,10290.7214118,12309.7318239,-24677.2807023,95.5631275,-45684.4401864,10.0,16900.3964028,41.8265385,0.7903266
-44.4723333,1249546586455802009,151.9637488,310.68681,-0.1689592,725.4020855,1749.3975016,303.0454099,88.2519958,-1718.5598362,12.0,1122.8076639,2.4155726,0.1261285
-44.5152671,1249546586455801979,3.0858493,528.3314314,-0.3657278,460.9569947,-2352.2561614,-3080.6538277,304.0635306,-3678.5356767,3.0,673.3352024,0.3749459,0.8647143
-44.5181637,1249546586455802011,365870.1029851,439.8793735,59.427927,64938.5677688,254757.8323226,-19505.7807235,132.8771598,-88356.8248552,9.0,116053.1274787,166.3701829,1.3234392
-44.5838247,1249546586455802019,519154.6581037,1143.9324716,109.1768902,5658.7944006,82934.46442,530.720171,202.7580795,-444603.9383128,31.0,117905.9625864,49.4251522,-3.0932762
-44.5274262,1249546586455801983,33.9948395,207.0764134,-0.3427932,122.6381551,1206.6731933,708.2549693,92.3892433,-31.7644892,5.0,596.0099237,1.6546741,-0.6742264
-44.5150309,1249546586455802012,136.2052655,465.9122189,-1.4150843,633.3936087,3140.3280224,823.4288847,226.9796672,-3896.7545773,4.0,3201.6829509,3.7815545,-1.8315208
-44.5182295,1249546586455801970,29203.3893812,322.2334103,64.3953683,21128.9798949,-28709.3513246,-62703.8156157,159.8156626,-100909.6096635,4.0,32423.1929425,88.1771,-0.5709305
-44.5414265,1249546586455802776,215351.4981462,608.3132116,54.6800501,88526.5654329,60604.8709185,-140829.5629106,223.0696995,-234952.9227867,7.0,123593.9435062,159.3914691,0.6870532
