decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.6241502,1248640588874515524,520841.6432957,569.0998012,-700.7327176,36477.8763972,634338.2776738,130274.7232762,178.3053552,60302.10135,8.0,206301.8498374,189.2448781
-44.6056548,1248640588874515525,666484.084435,616.9270709,-1403.5010898,46056.0749746,573083.8870071,-55487.3802822,197.9697689,-182965.6705444,8.0,256949.1995568,205.7544385
-44.5754857,1248640588874515488,25.8021539,244.4094692,0.5712146,288.3378295,1749.9212471,1341.9427865,66.6556066,584.1779171,13.0,359.1967977,0.4594508
-44.6394927,1248640588874515214,64504.6588898,1085.1182392,-53.0498305,3662.7879619,101272.760077,57999.1183168,203.7577005,-140383.3286977,28.0,41349.9756978,15.9197949
-44.6456666,1248640588874515213,192.9252889,314.4221436,0.4192265,271.0197147,1198.9443377,-1049.6896556,79.5069854,-1986.53666,15.0,1095.8426942,1.4952163
-44.6561038,1248640588874515210,95.8009359,684.8180419,0.4160424,1408.55291,6120.6521294,3615.4359144,165.5055699,1285.2066031,17.0,1675.3321704,1.5917776
-44.6481522,1248640588874515209,2784597.8011491,1227.5626394,-45.838846,228483.0297637,826508.7536369,265375.3371619,225.4221987,-449068.3829657,27.0,355842.5921907,242.4144459
-44.5910374,1248640588874515508,1738.7632158,437.5747869,6.6600177,11659.3258249,91110.3996938,76273.6333928,251.2784141,64777.6125326,3.0,13195.1128956,23.7067011
-44.5902419,1248640588874515496,59.0399973,229.7811334,-119.737887,1249.8791436,1054.2051118,-76.469194,161.923783,-1445.5531755,2.0,1767.5960363,6.7263886
-44.5101704,1248640588874515499,2.9702148,278.2246761,1.0693878,162.142657,-1237.4281511,-1480.6091386,159.6918295,-1898.4938352,3.0,344.5340493,0.0860926
-44.6505997,1248640588874515211,4464861.6293069,1169.3173584,500.5914085,235202.6923957,1383991.2025426,467980.0353191,199.0538837,-280865.928282,29.0,445452.1089678,292.9896433
-44.643622,1248631792781493080,30.4473608,801.3911798,7.761343,495.6692904,1940.8129623,-1217.5133895,302.2314111,-3903.6973677,7.0,1826.5324871,0.8368402
-44.6283977,1248631792781493079,37.7796197,518.0442622,2.0399114,721.110645,532.1118484,-1039.9036028,155.0371913,-2397.0258897,11.0,970.8978895,0.8852811
-44.6241065,1248640588874515579,228941.7171839,624.9803322,-84.8504839,53226.8130329,542677.6453666,217006.5251217,201.3804178,146813.5862598,9.0,127197.791116,128.7810695
-44.6488714,1248631792781493078,32.7383338,238.933953,-2.5281481,156.1327693,-444.7705137,-1430.136369,68.093621,-2175.3737227,12.0,405.8678228,0.1825815
-44.4896495,1248631792781493616,75109.2194539,388.7225388,46.6016685,13090.6082938,80365.5170735,-33671.3539211,189.582452,-66316.5866243,4.0,68435.8184706,111.911061
-44.5941131,1248631792781493077,11.3864734,245.7196058,-5.4114954,590.2857892,-58.8360182,-785.1691717,170.2218285,-1239.4075966,2.0,834.7901688,2.3637944
-44.6044194,1248631792781493076,174.1146311,654.9185158,-1.5643295,994.7036465,2395.5860237,-1362.4886061,161.4533372,-4893.3346277,16.0,2096.7285741,2.0432688
-44.5896215,1248631792781493075,8.8401387,346.3967831,3253837.7832575,728.8577699,-2632.4868891,-3302.5268512,244.3399631,-4090.2024288,2.0,1030.7605432,2.1306835
-44.6325721,1248631792781493081,120.6369188,364.1773841,0.1527876,616.0223318,-741.9266507,-2287.9552361,66.2032341,-3674.7537966,30.0,749.9891177,1.1780062
-44.5893389,1248631792781493607,4290.4173135,293.074614,-69.6871133,7108.9167522,-11136.517084,-26784.1060341,166.2306012,-36483.0395251,3.0,13074.1039114,36.1145219
-44.6172894,1248640588874515593,11.8808794,264.6752683,-3.0246606,647.3574632,1430.2294254,890.6800591,185.1878065,135.5144991,2.0,915.5017041,2.4985819
-44.6259444,1248640588874515599,47034.897041,338.9580274,-61.600413,6190.1982549,98980.934765,3172.4601588,177.1802215,-15272.0438003,3.0,64251.6227472,101.4347445
-44.5852964,1248640588874515181,11.9730956,192.3939233,-0.0936295,231.873562,929.3584673,432.9181562,94.7827483,-8.019555,4.0,388.2278728,0.8285076
-44.6443855,1248640588874515591,57.4927735,254.1295534,-6.4736229,1152.6289234,1413.9222492,-140.005157,146.1905777,-1329.4811942,3.0,1377.5206872,3.9709182
-44.5724368,1248640588874515540,61875.3948662,593.2109663,-19048.6463603,59707.9283593,305909.6396317,156894.9729338,331.6518736,89814.0151564,3.0,111594.1061188,138.0179787
-44.5017539,1248640588874515541,1.5501537,278.4399064,-1.2927532,247.623563,1739.5081588,1422.5412111,190.9286671,1244.2610327,2.0,350.1926012,0.3414914
-44.5912553,1248640588874515544,5844.7326827,294.4655821,-80.9529251,15944.9455515,-563.6811785,-18341.841962,207.181619,-32453.5722815,2.0,22549.5582502,71.8894383
-44.6436972,1248631792781493098,0.1642492,378.5741569,-0.3230157,108.5470353,2002.3373971,1900.8558817,267.2663901,1785.2433265,2.0,153.5086895,-0.9141714
-44.6319979,1248631792781493097,277.7357517,293.4657396,1.3749498,264.1235742,1626.2472292,-886.0504419,107.2722767,-2716.9347811,7.0,1862.6433978,4.8172756
-44.6044258,1248631792781493096,0.7452168,407.750816,2.132759,249.6131287,2267.1603511,1979.8890969,285.8423787,1767.9340937,2.0,353.006272,-0.4742319
-44.6521678,1248640588874515188,250.2652132,340.9055622,1.6722149,1187.0534448,1656.0846956,-1679.6740065,112.1556168,-3802.0694657,9.0,1765.6913687,4.1300063
-44.6242786,1248640588874516174,308.973098,476.1228294,109.9610795,4341.2497833,98463.4578452,92881.6707901,274.5126903,86693.1160547,3.0,5952.2937259,9.7102612
-44.5799382,1248640588874516169,0.1099383,720.4519842,-4.8431703,168.9439765,3878.9299547,3716.3916993,509.1616984,3541.0420017,2.0,238.9228629,-0.9434278
-44.5898342,1248640588874516173,81.5026315,242.1863991,30.1757881,114.1245429,883.0427152,-245.3214015,130.7170072,-1548.2769567,3.0,1371.9653193,4.5915953
-44.6056283,1248649384967539160,91.8408538,740.1811916,178.5356711,5070.7509368,7395.4509962,851.9751465,506.3122624,-2746.0508774,2.0,7171.1247462,7.8638549
-44.5057848,1248649384967539087,13.5234205,179.2166701,-132.8229601,466.4658683,843.7803162,417.9519891,126.3636794,-89.1514203,2.0,659.6823573,2.8189188
-44.6360532,1248649384967539078,3.7659518,253.072242,-6.905278,348.3852322,1255.1822596,962.3330142,177.2282738,558.4117952,2.0,492.6911203,1.3835466
-44.6146876,1248649384967539097,104.3545226,200.2184868,22.5629814,74.2963893,1588.0124011,761.4866958,88.923969,-1094.1169329,5.0,1046.2410872,2.326088
-44.6538821,1248649384967539113,1.2316299,217.4084775,-6351.365518,174.8022891,1222.0910513,972.9976033,142.5765554,872.4864732,2.0,247.2077679,0.1425381
-44.5600237,1248649384967539265,23767.4977799,677.6117377,-1941494.4056784,42776.9148709,-89857.7377409,-156674.025316,338.0075523,-216703.3483515,4.0,59487.6103394,82.6139787
-44.5653686,1248649384967539238,702.3410803,473.3658655,-8755.5888891,8871.2808679,115162.038362,106081.0079453,334.650031,97419.4766262,2.0,12545.885719,25.654023
-44.5008925,1248649384967539292,59.6146851,274.7816866,40.9220854,1511.8883785,1506.58162,-377.6594426,189.7822414,-1517.1951369,2.0,2138.1330496,6.3229851
-44.5904935,1248640588874516095,512.7440646,336.6305552,-83.8365596,5399.2771102,1079.8503031,-3687.8018444,236.806216,-9718.7039173,2.0,7635.7309162,20.8842442
-44.4730335,1248631792781494206,9.6507018,215.3400737,9.4221551,475.364652,1257.3293513,688.3303624,150.0218874,306.6000472,2.0,672.267138,2.1451356
-44.4974243,1248649384967539185,56.0549813,212.2125667,-22.6567743,1143.0902246,891.4580431,162.843739,142.2869238,-1394.7224061,2.0,1616.5736986,5.8328487
-44.5310574,1248649384967539181,0.6188384,192.2087216,4.6610213,107.127429,47.486608,-46.2441646,135.1105962,-166.7682499,2.0,151.501063,-0.6111266
-44.5235969,1248631792781492793,0.7339573,331.2889959,-0.5548996,195.1277613,-1541.7468031,-1737.4810848,190.8186622,-1948.6899323,3.0,203.5285826,-0.7805581
-44.6029227,1248649384967538915,0.1624949,196.1290946,-0.4354631,35.9964845,1058.7937632,990.0521396,112.2199714,943.5307384,3.0,58.9696196,-0.9579543
-44.4953321,1248640588874514979,14871.6522456,642.4250205,23.3020652,32562.6355592,-120454.3573933,-186869.802759,365.5405965,-226895.6848592,3.0,54540.7226225,68.0022482
-44.6417883,1248649384967538820,1468.1809512,361.6010789,-72.6019066,5828.004068,66791.7002877,54754.5455483,207.6348066,46908.7426228,3.0,10221.2145196,21.0070349
-44.5898731,1248631792781492790,11214.243332,315.0757299,-19.8784692,12745.8249815,31671.908501,12156.2063825,155.6079964,-7105.5792199,4.0,18624.1334524,55.274601
-44.6129691,1248649384967538855,163557.3864004,481.3620282,3408.9345944,75605.0457314,155533.378732,-29167.790546,227.0485958,-93193.9119785,4.0,120394.3313746,196.824122
-44.5786864,1248649384967539010,10.328184,432.567589,970.4253088,983.2480242,-4673.6660253,-5701.5814492,305.6345875,-6640.1620738,2.0,1390.522691,2.4072734
