decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.6425514,1252994654920508160,112638.8887055,970.6843995,-8446.6009973,231923.5647128,564461.743852,279131.8525726,672.4647695,100614.6144265,2.0,327989.4506507,302.0794513
-44.6314128,1252994654920508161,23.7042834,210.3025632,-0.3756262,318.8053131,1074.9991453,529.1238839,78.2179563,-136.7821778,7.0,418.1893007,0.9724136
-44.5892143,1252985858827486381,8.2563708,157.722673,-0.7919452,145.7191495,1074.9400407,779.3733503,78.6787359,452.0712777,4.0,259.2214945,0.5557196
-44.6405328,1252985858827486226,317.3554267,243.4809338,4.526701,471.442639,1683.1673733,-655.5029815,91.3146678,-2309.1426115,7.0,1694.5932943,5.1234667
-44.6015426,1252985858827486235,80066.7232766,478.6548948,-342.5427888,43282.6900185,66578.2224687,-60891.2911206,272.646325,-124379.3743645,3.0,100121.6536239,153.0851358
-44.6330526,1252985858827486175,10519.8459259,284.8722988,82.2142962,14976.9857389,85586.0456328,58683.763319,160.6914828,43901.873686,3.0,21115.3738931,58.3383857
-44.6016092,1252985858827486176,26927.8359177,540.2421974,-4360.9393787,62916.4258904,130152.9360843,56528.5796443,377.8162369,4320.0843035,2.0,88977.2627903,151.1897856
-44.6013984,1252985858827486784,21911.4998874,628.8100444,81.0803577,40648.9292731,246171.5273783,183171.4207565,360.2013678,120952.5013811,3.0,63880.4106419,85.0033447
-44.605378,1252985858827486785,0.6324061,136.2012237,-5.1151978,76.6443255,51.3270873,-31.1581807,96.0986255,-101.9615636,2.0,108.3914445,-0.603712
-44.5398467,1252985858827485270,23.6922323,155.9887638,-0.3679597,305.5229093,-284.1448574,-692.5130083,66.595246,-1146.2179281,5.0,383.557788,1.7217832
-44.5093782,1252985858827485277,79.6369227,196.8109526,0.2843673,303.4775619,2283.9274646,1452.1090142,46.1798743,539.3318829,18.0,423.131858,1.1070496
-44.521408,1252985858827485273,462380.2219973,673.8380466,-126.1738815,132190.711611,652110.0114035,272282.3705544,280.8759172,107359.3246015,5.0,247363.6964946,273.845535
-44.5327618,1252985858827485272,70.7256157,218.9461474,-0.0661429,192.1679191,-545.186794,-1585.1942255,52.8913737,-2448.2442881,17.0,445.3699298,0.7871649
-44.5370837,1252985858827485271,17.6044411,155.6721775,-0.1118049,115.7486528,-825.4110512,-1095.0237532,44.6944859,-1528.2720768,12.0,191.6637649,-0.0299883
-44.5094061,1252985858827485278,11.4590433,662.8600193,2.7636296,1594.6249179,-1003.4421074,-2915.0448244,461.6683461,-4192.6919432,2.0,2255.1401858,2.4057479
