decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ
-44.5205588,1248666977153581204,6525618.3793777,1120.0916524,491.2200985,3311136.3963891,15639.9667258,203.0359316,-218063.1011567,17.0,1124018.2474563,468.2770672
-44.5156628,1248666977153581203,0.2936793,230.2255249,0.1179918,-2401.4051113,-2477.662679,161.6290712,-2578.2699544,2.0,125.0623299,-0.8399491
-44.5328357,1248666977153581146,236.35207,1190.8639965,3.4611811,5760.8774312,-1143.4968417,216.6213645,-6720.1665463,30.0,3322.9288249,2.0131367
-44.5125114,1248666977153581128,146004.2115604,577.9234225,-4241.9874813,288323.886047,-6015.0099252,295.8102309,-72190.7342252,3.0,195902.8585848,194.5397579
-44.5142696,1248666977153581124,117.4862916,650.0166466,0.6712483,3421.9806236,-1137.5952336,200.3283915,-3324.0683485,10.0,2346.6315817,2.5246342
-44.5379387,1248666977153581123,41.4560977,788.6755233,0.3576112,2839.8744468,-495.1499192,227.0610409,-2225.4034986,12.0,1537.4571842,0.930182
-44.508513,1248666977153581173,54810.1465662,1352.9573935,-5254.2826154,881216.049292,606284.3237981,939.0204113,430497.5600605,2.0,318706.1001418,211.4573016
-44.513124,1248666977153581172,11881.0959807,482.0293407,-1402.4675771,9131.4293068,-30423.3880887,340.3200026,-65211.5972196,2.0,52568.4581908,105.1561858
-44.5184781,1248666977153581170,4869.3018358,645.7129249,-95.5711761,62397.3793848,26591.5975123,454.0375886,-1443.1824362,2.0,45142.0941784,65.371939
-44.5086825,1248666977153581166,2529349.6113335,845.5848578,204.5732989,1941923.4521965,-231984.0916673,167.5630315,-389347.3014834,20.0,574865.324321,230.2153623
-44.5129113,1248666977153581163,30924.1529761,524.0387865,-11.6828716,59290.3969543,-27031.9199639,231.9238658,-64002.9193842,5.0,48502.7587817,62.755466
-44.5137229,1248666977153581162,48.7115833,544.0266772,0.4246562,-285.9792461,-2374.9617935,162.9743854,-3790.4259703,11.0,1249.2924667,0.7893757
-44.5204855,1248666977153581160,966259.8369894,1058.4152354,-0.8789789,901614.9102758,165397.5013969,353.2681389,-92692.3798043,7.0,420297.3189412,364.7026284
-44.635473,1248666977153582729,67.2069503,703.0848481,-1.1026108,4285.0984762,-2033.1134444,387.7960742,-4131.3496983,3.0,4624.7593564,3.5555203
-44.6536906,1248666977153582277,244073.0329747,1513.8352134,-531.3546505,74336.3966523,-36134.8318467,284.3010774,-357109.8355962,28.0,134457.5740006,61.3776888
-44.5262131,1248666977153582289,65.7690009,501.4320663,5.3097181,2797.7828923,-1105.9200182,282.6637822,-2736.3603736,3.0,3065.6353326,3.2664006
-44.5206893,1248666977153582234,62626.8723575,1275.5668745,28.4319611,897541.2796642,602127.9310789,632.7284086,452552.1519913,4.0,195141.6266567,120.9487473
-44.6353895,1248666977153582340,194.4869676,867.4454313,-3.2855086,7684.1087447,4215.1401434,230.2285516,-3552.6529518,14.0,3347.8010556,2.2461308
-44.5394266,1248666977153582334,3.5866367,275.5977163,-70133.2344729,4364.5127446,3983.8888147,194.8058945,3626.2904821,2.0,522.0019678,1.5879933
-44.5072962,1248666977153582329,2.3163083,520.5728814,-8.6344122,3569.2545711,2993.63195,367.9970817,2448.6937447,2.0,792.3561591,1.1440717
-44.5427093,1248666977153582709,87.9640919,550.699136,-26.6681265,-148289.4015125,-151620.9673319,388.2513545,-155600.9665345,2.0,5170.0572082,8.3914664
-44.6009795,1248666977153582720,2.6328697,526.5140864,-1.5362396,1451.7844833,995.3731422,302.6717081,246.9441672,3.0,627.6226046,0.0118923
-44.6533149,1248666977153582297,234115.3258109,1019.7051571,2250.5533758,802570.7935731,250936.5543957,638.968011,77661.1731448,2.0,512588.5083522,391.7067029
-44.4973726,1248666977153582129,114.5147723,532.5175836,-8.8848223,3827.0363626,10.5906192,264.0744922,-2486.6738999,4.0,3327.6435289,5.1631551
-44.5204128,1248666977153582098,37023.7544828,978.5926119,-192125628.7192103,368717.527839,208294.3209739,681.5631311,101086.7533965,2.0,189243.5354626,175.2310715
-44.6100221,1248666977153582209,400.5603265,933.9490851,10.0300484,9876.3630226,1795.9167616,212.9611403,-5793.9215145,19.0,4348.1812276,3.6712931
-44.6472157,1248666977153582182,0.114053,399.2539839,12136.2226506,2102.8091411,1999.6643855,281.619953,1911.9670401,2.0,134.9457438,-0.9412329
