decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.5215884,1248666977153581190,208.8076626,603.6989033,0.0431395,921.185305,4319.6607912,1127.5920966,107.4729668,-1053.8609928,31.0,1570.7239299,1.5837736
-44.5244494,1248666977153581180,0.1492571,202.6122947,-0.0781304,21.8112445,110.1742297,48.8262578,116.6392453,4.9391672,3.0,55.5422994,-0.9615716
-44.5125538,1248666977153581211,15293.7830184,380.829429,-169.505868,33464.4099397,49108.7410342,9094.4417408,265.3648952,-17820.0788451,2.0,47325.8223935,112.587488
-44.5575564,1248666977153581207,421.5325463,513.0735289,-0.2677262,1157.7159668,8083.2129478,4309.3806194,82.8857483,1194.7555606,38.0,1699.0024693,2.0793663
-44.5205588,1248666977153581204,13599.6669344,543.7991743,-128.4724605,45035.9905078,82643.6204175,29298.3696964,379.5551399,-7428.3605982,2.0,63690.5085711,106.6434399
-44.5328357,1248666977153581146,861.5943231,925.5216226,6.8253709,3105.3094803,14725.2063492,2727.9000177,194.7357763,-7310.5025869,22.0,5672.7595748,4.5120044
-44.5125114,1248666977153581128,25741.483806,600.5066893,-350.1348462,68439.7064384,307792.6433549,226344.0081891,418.7941466,170913.2304781,2.0,96788.36105,146.5661997
-44.5046199,1248666977153581125,49.0771239,239.5577893,0.9809239,676.6577445,892.3895014,-878.4349114,130.9508046,-1721.6206383,3.0,1356.7270063,3.4355989
-44.5142696,1248666977153581124,251.3173223,524.8615776,0.4149136,877.3508956,4286.50622,805.7089851,107.7407147,-2487.5145721,23.0,1750.1360323,2.2331512
-44.5379387,1248666977153581123,212.5506978,588.3612878,1.9644865,1623.635141,2786.4796072,-685.6973288,142.0820974,-4822.3119137,17.0,2098.6290649,2.4842886
-44.513124,1248666977153581172,45666.830238,416.1091518,-2304.5355874,63411.7994139,85551.5855891,5843.887565,286.7698233,-41272.0132387,2.0,89677.8267456,190.1017202
-44.5184781,1248666977153581170,13336.5199816,400.4823958,95.8841769,16203.7584543,39844.1562463,12726.0449617,231.1259035,-22778.6529774,3.0,32503.6056909,64.1509777
-44.5086825,1248666977153581166,140600.9702895,590.7599913,18.6361893,15474.2275682,-2520.3714233,-197342.7254703,142.5961173,-278917.4195951,16.0,62104.1073515,62.4901199
-44.5129113,1248666977153581163,2407.0499842,352.6479785,6.0580193,2393.1448541,3388.8903594,-11832.5449235,176.1136424,-18962.0753408,4.0,10108.6173822,19.5272328
-44.5137229,1248666977153581162,109.6966929,428.4215951,0.5607635,480.363646,2825.4637968,-27.0259802,105.9875542,-1855.5360954,16.0,1107.7072279,1.2576689
