decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.2454241,1248710957618692685,163.0973489,249.9091708,-0.3723062,391.4078631,1449.4635132,379.2446429,63.463514,-1288.7397858,15.0,783.7736931,1.8523212
-44.2824556,1248710957618692508,69.4972185,129.8821963,-1.2696015,164.759508,763.2340775,128.0046212,72.7665136,-552.7871145,3.0,716.9915083,4.1724671
-44.2903428,1248710957618692726,150817.0837718,497.027946,71.414944,15333.5825018,-21707.718237,-123528.4341564,135.4259888,-204003.7632969,13.0,49921.1562658,78.3230281
-44.2324895,1248710957618692720,56.9143425,217.2044829,45.6090775,1160.5067185,1313.0781225,22.7070795,152.8623191,-1007.9353144,2.0,1641.2043405,6.5399708
-44.2232706,1248710957618692309,115.1129492,537.5893078,-7.6645849,1025.7528553,3645.3577,428.1665963,207.4598858,-1560.339724,5.0,2303.2294482,4.2238708
-44.2459196,1248710957618692304,38.9870786,195.6634201,-0.071703,341.9188305,978.8481052,302.3111675,78.4020343,-287.0049848,6.0,527.5944128,1.8088739
-44.2564051,1248710957618692303,122.5663923,181.9803296,-0.5387843,648.120075,977.1127873,-83.330121,68.3738924,-919.5406501,7.0,806.5488521,4.00197
-44.2696748,1248710957618692300,192.4459747,303.0937666,-0.6047707,628.8180943,403.7445871,-1027.5967576,61.6305185,-2456.1679997,24.0,871.9283745,2.0720212
-44.2752029,1248710957618692316,309304.8512541,498.649869,-162.876056,96185.5861328,403009.6514432,101055.3962043,213.6425205,16000.1759905,4.0,166294.8748736,264.935429
-44.2747477,1248710957618692298,71190.7634717,531.7617478,-19.1702577,16269.1008219,340781.9929117,196116.9326842,234.0682423,136414.9729607,5.0,77889.9380531,92.5331069
-44.2901205,1248710957618692295,310971.8675172,692.385128,62.7372277,134219.0898231,617003.7868963,313978.5401406,252.0739229,153067.2656412,7.0,159184.8793524,180.8586105
