galaxy,name,ra,dec,vmag,errvmag,bmag,errbmag,rmag,errrmag,imag,errimag,per_fo,per_fu,dominant_mode,ampv,err_ampv,ampb,err_ampb,ampr,err_ampr,ampi,err_ampi,ampv_sec,err_ampv_sec,ampb_sec,err_ampb_sec
S,V485,,,,,,,,,,,0.36133826,0.48533392,1,0.47,0.04,0.58,0.05,NaN,NaN,NaN,NaN,0.22,0.03,0.3,0.03
S,V124,,,,,,,,,,,0.35991101,0.48348441,1,0.46,0.04,0.52,0.05,NaN,NaN,NaN,NaN,0.14,0.02,0.15,0.02
S,V193,,,,,,,,,,,0.40311885,0.54150704,1,0.41,0.03,0.56,0.04,NaN,NaN,NaN,NaN,0.28,0.03,0.31,0.03
S,V310,,,,,,,,,,,0.3583719,0.48144328,1,0.46,0.04,0.42,0.04,NaN,NaN,NaN,NaN,0.25,0.03,0.31,0.04
S,V439,,,,,,,,,,,0.40323131,0.54073037,1,0.37,0.04,0.62,0.06,NaN,NaN,NaN,NaN,0.23,0.03,0.29,0.03
S,V50,,,,,,,,,,,0.3630311,0.48721621,1,0.48,0.05,0.58,0.06,NaN,NaN,NaN,NaN,0.17,0.03,0.26,0.03
S,V249,,,,,,,,,,,0.3539298,0.47607263,1,0.37,0.04,0.62,0.05,NaN,NaN,NaN,NaN,0.19,0.04,0.15,0.03
S,V315,,,,,,,,,,,0.356845,0.47973109,1,0.41,0.04,0.47,0.05,NaN,NaN,NaN,NaN,0.23,0.03,0.31,0.04
S,V376,,,,,,,,,,,0.3622201,0.48654663,1,0.46,0.04,0.49,0.05,NaN,NaN,NaN,NaN,0.22,0.03,0.27,0.03
S,V141,,,,,,,,,,,0.36437803,0.48962181,1,0.46,0.04,0.55,0.05,NaN,NaN,NaN,NaN,0.28,0.03,0.35,0.04
S,V449,,,,,,,,,,,0.3640732,0.48904761,1,0.4,0.04,0.45,0.05,NaN,NaN,NaN,NaN,0.31,0.03,0.48,0.06
S,V555,,,,,,,,,,,0.35862379,0.48159249,1,0.38,0.03,0.43,0.04,NaN,NaN,NaN,NaN,0.11,0.03,0.16,0.02
S,V257,,,,,,,,,,,0.361518,0.48562896,1,0.32,0.03,0.32,0.04,NaN,NaN,NaN,NaN,0.25,0.03,0.34,0.03
S,V322,,,,,,,,,,,0.35451593,0.47647636,1,0.45,0.04,0.45,0.04,NaN,NaN,NaN,NaN,0.21,0.04,0.19,0.03
S,V393,,,,,,,,,,,0.38875176,0.52240696,1,0.4,0.04,0.5,0.05,NaN,NaN,NaN,NaN,0.16,0.03,0.14,0.03
S,V161,,,,,,,,,,,0.3966956,0.53191942,1,0.36,0.04,0.52,0.05,NaN,NaN,NaN,NaN,0.22,0.03,0.28,0.03
S,V576,,,,,,,,,,,0.39246483,0.52653421,1,0.36,0.03,0.52,0.04,NaN,NaN,NaN,NaN,0.09,0.02,0.3,0.03
S,V258,,,,,,,,,,,0.374973,0.50325218,1,0.33,0.04,0.51,0.05,NaN,NaN,NaN,NaN,0.22,0.03,0.44,0.04
S,V353,,,,,,,,,,,0.36037881,0.48360454,1,0.36,0.03,0.52,0.04,NaN,NaN,NaN,NaN,0.15,0.02,0.16,0.02
