FBW,o_Vmag,Vmag,e_Vmag,o_Icmag,Icmag,e_Icmag,WS,Period,E(B-V),_RA,_DE
J024015.0-343520,33,21.617,0.025,33,20.899,0.037,0.982,0.58071,0.025,40.0625,-34.5889
J024015.6-342502,32,21.417,0.023,32,21.051,0.035,0.943,0.56541,0.02,40.065,-34.4172
J024015.8-342650,33,21.57,0.027,33,21.037,0.039,1.345,0.56274,0.02,40.0658,-34.4472
J024015.9-342844,15,21.442,0.029,15,20.998,0.063,3.936,0.57291,0.02,40.0662,-34.4789
J024016.0-342202,33,21.284,0.019,19,20.752,0.04,3.237,0.58346,0.02,40.0667,-34.3672
J024016.2-343648,30,21.542,0.025,30,20.887,0.036,1.629,0.35295,0.025,40.0675,-34.6133
J024016.6-342729,33,21.372,0.021,33,20.837,0.032,0.918,0.58682,0.02,40.0692,-34.4581
J024016.6-343017,34,21.249,0.021,33,20.521,0.029,1.493,0.54853,0.021,40.0692,-34.5047
J024017.4-343631,33,21.44,0.022,33,20.801,0.032,2.037,0.59565,0.025,40.0725,-34.6086
J024017.6-342158,34,21.318,0.021,34,20.745,0.029,1.501,0.61311,0.02,40.0733,-34.3661
J024019.1-341850,30,21.356,0.024,30,20.756,0.036,2.399,0.57592,0.022,40.0796,-34.3139
J024019.3-342459,33,21.59,0.024,33,21.241,0.038,2.743,0.38727,0.02,40.0804,-34.4164
J024019.6-343431,33,21.332,0.024,33,20.886,0.035,1.394,0.37822,0.024,40.0817,-34.5753
J024019.6-343514,33,21.454,0.024,33,20.947,0.035,1.684,0.38445,0.025,40.0817,-34.5872
J024020.9-342039,33,21.446,0.023,33,21.087,0.035,1.05,0.60201,0.021,40.0871,-34.3442
J024021.0-342434,32,21.505,0.023,32,20.966,0.033,5.457,0.55518,0.02,40.0875,-34.4094
J024021.6-343747,33,21.575,0.023,32,20.797,0.033,2.454,0.57094,0.025,40.09,-34.6297
J024022.3-342053,33,21.366,0.02,33,20.736,0.033,2.106,0.37146,0.021,40.0929,-34.3481
J024023.3-342627,32,21.415,0.022,31,21.101,0.036,5.004,0.55845,0.02,40.0971,-34.4408
J024023.5-343245,33,21.355,0.024,33,20.976,0.036,1.275,0.4244,0.022,40.0979,-34.5458
J024024.3-342524,33,21.255,0.019,33,20.799,0.03,1.731,0.29108,0.02,40.1012,-34.4233
J024024.7-341846,31,21.206,0.021,31,20.772,0.031,1.058,0.38704,0.022,40.1029,-34.3128
J024025.1-342835,29,21.461,0.024,31,20.91,0.036,4.322,0.57125,0.02,40.1046,-34.4764
J024025.4-342949,32,21.32,0.02,30,21.112,0.038,3.365,0.54017,0.021,40.1058,-34.4969
J024025.5-342157,15,21.303,0.023,15,20.7,0.043,3.102,0.58384,0.02,40.1062,-34.3658
J024026.3-342215,14,21.399,0.029,14,20.923,0.062,1.463,0.57372,0.02,40.1096,-34.3708
J024027.6-342918,14,21.394,0.028,14,20.832,0.058,1.752,0.58344,0.021,40.115,-34.4883
J024028.6-342752,13,21.343,0.029,13,20.711,0.066,2.134,0.53055,0.02,40.1192,-34.4644
J024028.8-342215,14,21.496,0.03,14,20.963,0.062,2.309,0.54542,0.02,40.12,-34.3708
J024029.5-342351,14,21.292,0.026,14,20.739,0.05,1.379,0.59767,0.02,40.1229,-34.3975
J024029.5-343428,14,21.252,0.024,14,20.666,0.05,1.319,0.65112,0.023,40.1229,-34.5744
J024031.7-343735,15,21.423,0.023,15,20.859,0.052,1.47,0.57857,0.024,40.1321,-34.6264
J024032.5-342301,14,21.454,0.029,14,21.202,0.065,1.753,0.57164,0.02,40.1354,-34.3836
J024032.7-343229,15,21.152,0.021,14,20.663,0.05,2.194,0.64871,0.022,40.1362,-34.5414
J024033.2-342109,14,21.296,0.026,14,21.059,0.059,1.334,0.34647,0.02,40.1383,-34.3525
